SUBDISTRICT_ID	KM_CATEGORY	TAX_PRICE	DURATION	OPERATIONAL_COST	TYPE
355030838000198	6.0	16.110000000000003	23.05555555555562	0.09863013698630138	Bike
355030838000198	6.5	16.334166666666665	24.0	0.10684931506849316	Bike
355030838000198	8.0	20.72811320754717	27.57142857142859	0.1315068493150685	Bike
355030838000198	8.5	22.104444444444443	28.0	0.13972602739726028	Bike
355030838000198	9.0	20.69770833333334	30.347826086956534	0.14794520547945206	Bike
355030838000198	9.5	20.21409090909091	30.0	0.15616438356164386	Bike
355030838000198	10.0	26.797727272727276	42.0	0.16438356164383564	Bike
355030838000198	10.5	29.36466666666667	44.0	0.1726027397260274	Bike
355030838000198	11.0	30.47935483870967	46.0	0.1808219178082192	Bike
355030838000198	11.5	26.60041420118342	40.60000000000011	0.189041095890411	Bike
355030838000198	12.0	30.111730769230764	50.0	0.19726027397260276	Bike
355030838000198	13.0	28.682080924855498	44.0	0.2136986301369863	Bike
355030838000198	13.5	33.00119047619049	49.125	0.22191780821917811	Bike
355030838000198	14.0	37.4857594936709	51.52380952380939	0.2301369863013699	Bike
355030838000198	14.5	33.94543999999999	48.0	0.23835616438356166	Bike
355030871000079	1.5	7.471774193548382	9.0	0.024657534246575345	Bike
355030871000079	2.5	7.698793103448276	11.0	0.04109589041095891	Bike
355030871000079	3.5	10.101764705882353	15.0	0.05753424657534247	Bike
355030871000079	4.0	11.81066225165563	17.69999999999998	0.06575342465753425	Bike
355030871000079	5.0	11.12425	18.0	0.08219178082191782	Bike
355030871000079	5.5	13.390272108843538	23.0	0.0904109589041096	Bike
355030871000079	6.5	13.417519999999994	20.0	0.10684931506849316	Bike
355030871000079	7.0	16.87168478260869	29.09090909090903	0.11506849315068494	Bike
355030871000079	7.5	21.042000000000005	34.75	0.12328767123287673	Bike
355030871000079	8.0	24.775740740740737	40.0	0.1315068493150685	Bike
355030871000079	8.5	24.82328502415459	41.0	0.13972602739726028	Bike
355030871000079	9.5	24.267985074626864	38.0	0.15616438356164386	Bike
355030871000079	10.0	26.697380952380954	41.0	0.16438356164383564	Bike
355030871000079	15.0	37.05753246753247	47.0	0.24657534246575347	Bike
355030815000030	2.0	7.312229299363062	3.857142857142853	0.32801992528019924	Moto
355030815000030	2.5	7.469387755102042	5.1111111111111	0.41002490660024904	Moto
355030815000030	3.0	8.40841584158416	5.916666666666668	0.4920298879202989	Moto
355030815000030	3.5	8.393925925925926	6.117647058823535	0.5740348692403486	Moto
355030815000030	4.0	12.246666666666664	8.25	0.6560398505603985	Moto
355030815000030	4.5	10.834927536231884	7.09090909090908	0.7380448318804483	Moto
355030815000030	5.5	15.596875000000002	10.5	0.9020547945205479	Moto
355030815000030	6.0	13.987666666666666	12.25	0.9840597758405978	Moto
355030815000030	6.5	13.50527272727273	11.714285714285708	1.0660647571606476	Moto
355030815000030	7.5	15.69481012658228	9.79999999999999	1.2300747198007471	Moto
355030815000030	8.0	17.40326086956522	11.894736842105258	1.312079701120797	Moto
355030815000030	8.5	19.850681818181823	18.25	1.3940846824408468	Moto
355030815000030	9.0	21.058333333333337	17.0	1.4760896637608967	Moto
355030815000030	10.0	24.417812499999997	19.5	1.6400996264009962	Moto
355030815000030	10.5	23.640048309178738	18.25925925925922	1.722104607721046	Moto
355030815000030	11.0	22.466214285714283	16.473684210526283	1.8041095890410959	Moto
355030815000030	12.5	27.294897959183675	19.5	2.050124533001245	Moto
355030815000030	17.0	28.11	21.0	2.7881693648816936	Moto
355030838000198	0.5	7.122038834951449	2.0	0.08200498132004981	Moto
355030838000198	1.0	7.455469798657724	2.6666666666666576	0.16400996264009962	Moto
355030838000198	1.5	7.533949579831935	2.9444444444444517	0.24601494396014945	Moto
355030838000198	2.0	7.899999999999999	4.400000000000003	0.32801992528019924	Moto
355030838000198	3.0	8.443809523809522	6.736842105263142	0.4920298879202989	Moto
355030838000198	4.0	9.316607142857142	8.285714285714281	0.6560398505603985	Moto
355030838000198	4.5	10.946105263157897	10.1875	0.7380448318804483	Moto
355030838000198	5.0	10.835508474576269	6.583333333333341	0.8200498132004981	Moto
355030838000198	5.5	15.969701492537311	12.333333333333343	0.9020547945205479	Moto
355030838000198	6.0	16.110000000000003	12.272727272727257	0.9840597758405978	Moto
355030838000198	6.5	16.334166666666665	12.399999999999993	1.0660647571606476	Moto
355030838000198	8.0	20.72811320754717	14.0	1.312079701120797	Moto
355030838000198	8.5	22.104444444444443	13.0	1.3940846824408468	Moto
355030838000198	9.0	20.69770833333334	13.045454545454517	1.4760896637608967	Moto
355030838000198	9.5	20.21409090909091	16.0	1.5580946450809463	Moto
355030838000198	10.0	26.797727272727276	18.0	1.6400996264009962	Moto
355030838000198	10.5	29.36466666666667	19.0	1.722104607721046	Moto
355030838000198	11.0	30.47935483870967	21.0	1.8041095890410959	Moto
355030838000198	11.5	26.60041420118342	19.199999999999953	1.8861145703611457	Moto
355030838000198	12.0	30.111730769230764	22.0	1.9681195516811956	Moto
355030838000198	13.0	28.682080924855498	22.105263157894665	2.1321295143212953	Moto
355030838000198	13.5	33.00119047619049	24.400000000000055	2.214134495641345	Moto
355030838000198	14.0	37.4857594936709	24.66666666666661	2.2961394769613945	Moto
355030838000198	14.5	33.94543999999999	23.83333333333336	2.3781444582814446	Moto
355030871000079	1.5	7.471774193548382	4.25	0.24601494396014945	Moto
355030871000079	2.5	7.698793103448276	7.0	0.41002490660024904	Moto
355030871000079	3.5	10.101764705882353	8.5	0.5740348692403486	Moto
355030871000079	4.0	11.81066225165563	10.714285714285724	0.6560398505603985	Moto
355030871000079	5.0	11.12425	11.5	0.8200498132004981	Moto
355030871000079	5.5	13.390272108843538	11.941176470588271	0.9020547945205479	Moto
355030871000079	6.5	13.417519999999994	11.818181818181817	1.0660647571606476	Moto
355030871000079	7.0	16.87168478260869	15.611111111111153	1.1480697384806973	Moto
355030871000079	7.5	21.042000000000005	17.16666666666665	1.2300747198007471	Moto
355030871000079	8.0	24.775740740740737	19.20000000000002	1.312079701120797	Moto
355030871000079	8.5	24.82328502415459	18.0	1.3940846824408468	Moto
355030871000079	9.5	24.267985074626864	23.0	1.5580946450809463	Moto
355030871000079	10.0	26.697380952380954	20.0	1.6400996264009962	Moto
355030871000079	15.0	37.05753246753247	28.25	2.4601494396014942	Moto
